iter	Passed	Remaining
0	57	28464
1	59	14775
2	61	10172
3	63	7886
4	65	6510
5	67	5586
6	69	4929
7	72	4431
8	74	4042
9	76	3729
10	77	3465
11	79	3249
12	82	3076
13	84	2920
14	86	2784
15	88	2665
16	90	2562
17	92	2466
18	94	2385
19	96	2308
20	98	2245
21	100	2182
22	102	2122
23	104	2069
24	106	2017
25	108	1970
26	110	1927
27	111	1887
28	114	1854
29	116	1818
30	118	1787
31	120	1757
32	122	1728
33	124	1700
34	126	1674
35	128	1652
36	130	1632
37	132	1611
38	134	1590
39	136	1569
40	138	1550
41	140	1531
42	142	1513
43	144	1497
44	146	1481
45	148	1466
46	150	1450
47	152	1435
48	154	1420
49	156	1407
50	158	1393
51	160	1380
52	162	1367
53	164	1356
54	166	1344
55	168	1332
56	169	1320
57	171	1310
58	173	1299
59	175	1288
60	177	1278
61	179	1270
62	181	1260
63	183	1251
64	185	1242
65	187	1233
66	189	1224
67	191	1216
68	193	1207
69	195	1199
70	197	1193
71	199	1184
72	201	1177
73	203	1169
74	205	1162
75	207	1155
76	208	1148
77	210	1140
78	212	1134
79	214	1128
80	216	1122
81	218	1115
82	220	1109
83	222	1103
84	224	1097
85	226	1091
86	228	1085
87	230	1079
88	232	1075
89	234	1069
90	236	1064
91	238	1058
92	240	1053
93	242	1047
94	244	1041
95	246	1036
96	248	1031
97	250	1026
98	252	1021
99	254	1016
100	256	1011
101	257	1006
102	259	1001
103	261	997
104	264	993
105	265	988
106	267	983
107	269	978
108	271	974
109	273	969
110	275	965
111	277	960
112	279	957
113	281	952
114	283	948
115	285	944
116	287	940
117	289	935
118	290	931
119	292	927
120	294	923
121	297	920
122	298	916
123	300	912
124	302	908
125	304	904
126	306	900
127	308	896
128	310	892
129	312	889
130	314	885
131	316	882
132	318	878
133	320	875
134	322	871
135	324	868
136	326	864
137	328	861
138	330	858
139	332	854
140	334	851
141	336	847
142	338	844
143	340	840
144	341	837
145	343	833
146	345	830
147	347	827
148	349	823
149	351	820
150	353	817
151	355	813
152	357	810
153	359	806
154	361	803
155	363	800
156	365	797
157	367	794
158	368	791
159	370	788
160	372	785
161	374	781
162	376	778
163	378	776
164	380	772
165	382	769
166	384	766
167	386	763
168	388	760
169	390	757
170	391	754
171	393	751
172	395	748
173	398	745
174	400	742
175	401	739
176	403	737
177	405	734
178	407	731
179	409	728
180	411	725
181	413	722
182	415	719
183	417	716
184	419	713
185	421	711
186	423	708
187	424	705
188	426	702
189	429	700
190	430	697
191	432	694
192	434	691
193	436	688
194	438	686
195	440	683
196	442	680
197	444	678
198	446	675
199	448	672
200	450	670
201	452	667
202	454	664
203	456	661
204	457	659
205	459	656
206	462	653
207	463	651
208	465	648
209	467	646
210	469	643
211	471	640
212	473	638
213	475	635
214	477	633
215	479	630
216	481	627
217	483	625
218	485	622
219	487	620
220	489	617
221	491	614
222	493	612
223	495	610
224	497	607
225	499	604
226	500	602
227	502	599
228	504	597
229	506	594
230	508	592
231	510	589
232	512	587
233	514	584
234	516	582
235	518	579
236	520	577
237	521	574
238	523	572
239	525	569
240	527	567
241	529	564
242	531	562
243	533	559
244	535	557
245	537	555
246	539	552
247	541	550
248	543	547
249	545	545
250	547	542
251	549	540
252	551	538
253	553	535
254	554	533
255	556	530
256	558	528
257	561	526
258	565	526
259	573	529
260	576	528
261	579	526
262	583	525
263	585	523
264	587	521
265	589	518
266	591	516
267	593	513
268	595	511
269	597	509
270	599	506
271	601	504
272	603	501
273	605	499
274	607	496
275	609	494
276	611	492
277	613	489
278	615	487
279	616	484
280	618	482
281	620	479
282	622	477
283	624	474
284	626	472
285	628	470
286	630	467
287	632	465
288	634	463
289	636	460
290	638	458
291	639	455
292	641	453
293	643	451
294	645	448
295	647	446
296	649	444
297	651	441
298	653	439
299	655	436
300	657	434
301	659	432
302	661	429
303	662	427
304	664	425
305	666	422
306	668	420
307	670	418
308	672	415
309	674	413
310	676	411
311	678	408
312	680	406
313	682	404
314	684	401
315	686	399
316	687	397
317	689	394
318	691	392
319	693	390
320	695	387
321	697	385
322	699	383
323	701	380
324	703	378
325	705	376
326	706	374
327	708	371
328	710	369
329	712	367
330	714	364
331	716	362
332	718	360
333	720	358
334	722	355
335	724	353
336	726	351
337	728	349
338	730	346
339	732	344
340	734	342
341	735	340
342	737	337
343	739	335
344	741	333
345	743	331
346	745	328
347	747	326
348	749	324
349	751	321
350	753	319
351	755	317
352	756	315
353	759	313
354	761	310
355	762	308
356	764	306
357	766	304
358	768	301
359	770	299
360	772	297
361	774	295
362	776	293
363	778	290
364	780	288
365	782	286
366	784	284
367	785	281
368	787	279
369	789	277
370	791	275
371	793	273
372	795	270
373	797	268
374	799	266
375	801	264
376	802	261
377	804	259
378	806	257
379	809	255
